number,DG_num,DG,lumo,EA,bv-3.5,f+2,f+3,f+4,f+5,f+6,f-2,f-3,f-4,f-5,f-6,f0-2,f0-3,f0-4,f0-5,f0-6,Q2,Q3,Q4,Q5,Q6
101,34,FC(C=C1)=CC=C1C2=NC=CC=N2,-0.05717,0.043643671,0.608926575,0.06522,0.01821,0.112,0.01821,0.06522,0.03334,0.04662,0.12579,0.04663,0.03333,0.04928,0.032415,0.118895,0.03242,0.049275,-0.1482,-0.27707,0.39444,-0.27707,-0.1482
102,35,C1(C2=CC=CC=C2)=NCCO1,-0.02246,-0.009713873,0.582644195,0.07019,0.02297,0.1608,0.02912,0.0627,0.04946,0.0238,0.1477,0.01284,0.05812,0.059825,0.023385,0.15425,0.02098,0.06041,-0.17864,-0.20513,-0.19817,-0.20459,-0.16614
103,36,BrC(C=C1)=CC=C1C2=NCCO2,-0.03542,0.04099769,0.58251025,0.05719,0.03308,0.12117,0.02692,0.06475,0.0406,0.01911,0.072,0.02689,0.03636,0.048895,0.026095,0.096585,0.026905,0.050555,-0.1527,-0.22735,-0.07976,-0.22811,-0.16416
104,10,C1(C2=CC=CC=C2)=NC=CC=N1,-0.05362,0.035847956,0.608879985,0.06348,0.01883,0.1308,0.01883,0.06345,0.04422,0.02598,0.17831,0.02598,0.04421,0.05385,0.022405,0.154555,0.022405,0.05383,-0.16657,-0.21081,-0.19195,-0.21081,-0.16658
105,10,C1(C2=CC=CC=C2)=NC=CC=N1,-0.05362,0.035847956,0.608879985,0.06348,0.01883,0.1308,0.01883,0.06345,0.04422,0.02598,0.17831,0.02598,0.04421,0.05385,0.022405,0.154555,0.022405,0.05383,-0.16657,-0.21081,-0.19195,-0.21081,-0.16658
106,10,C1(C2=CC=CC=C2)=NC=CC=N1,-0.05362,0.035847956,0.608879985,0.06348,0.01883,0.1308,0.01883,0.06345,0.04422,0.02598,0.17831,0.02598,0.04421,0.05385,0.022405,0.154555,0.022405,0.05383,-0.16657,-0.21081,-0.19195,-0.21081,-0.16658
107,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
108,10,C1(C2=CC=CC=C2)=NC=CC=N1,-0.05362,0.035847956,0.608879985,0.06348,0.01883,0.1308,0.01883,0.06345,0.04422,0.02598,0.17831,0.02598,0.04421,0.05385,0.022405,0.154555,0.022405,0.05383,-0.16657,-0.21081,-0.19195,-0.21081,-0.16658
109,35,C1(C2=CC=CC=C2)=NCCO1.C,-0.02246,-0.009713873,0.582644195,0.07019,0.02297,0.1608,0.02912,0.0627,0.04946,0.0238,0.1477,0.01284,0.05812,0.059825,0.023385,0.15425,0.02098,0.06041,-0.17864,-0.20513,-0.19817,-0.20459,-0.16614
110,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
111,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
112,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
113,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
114,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
115,37,FC(C=CC=C1)=C1C2=NC=CC=C2,-0.03519,-0.006987585,0.63702595,0.03038,0.04067,0.13326,0.00962,0.07936,0.06175,0.00553,0.1412,0.04711,0.02038,0.046065,0.0231,0.13723,0.028365,0.04987,0.39621,-0.27332,-0.18405,-0.22186,-0.15362
116,38,CN(C(C=CC=C1)=C1C2=NC=CC=C2)C,-0.02872,-0.043087521,0.683219577,0.05412,0.01446,0.12611,0.01666,0.05491,-0.00385,0.04551,0.03563,0.11728,-0.00999,0.025135,0.029985,0.08087,0.06697,0.02246,0.1742,-0.258,-0.18445,-0.23166,-0.15556
117,24,CC(C=CC=C1)=C1C2=NC=CC=C2,-0.03382,-0.01223597,0.65755451,0.04917,0.01958,0.12397,0.01889,0.04685,-0.00375,0.08333,0.13917,-0.01456,0.10754,0.02271,0.051455,0.13157,0.002165,0.077195,-0.18274,-0.21747,-0.19549,-0.20332,0.02082
118,23,CC1=CC=CC(C2=NC=CC=C2)=C1,-0.03599,0.006292418,0.622099795,0.03951,0.02764,0.12488,0.01367,0.07242,0.07271,0.00266,0.16517,0.04398,0.02078,0.05611,0.01515,0.145025,0.028825,0.0466,-0.19522,-0.1994,-0.20065,-0.01874,-0.17027
119,1,C1(C2=CC=CC=C2)=NC=CC=C1,-0.03775,0.007041801,0.622082324,0.05431,0.02087,0.13195,0.01935,0.06176,0.04304,0.02618,0.15923,0.01435,0.05704,0.048675,0.023525,0.14559,0.01685,0.0594,-0.18525,-0.20694,-0.20087,-0.20451,-0.17126
120,39,CC(C(C=CC=C1)=C1C2=NC=CC=C2)C,-0.03441,-0.011985846,0.670040533,0.05024,0.01777,0.11808,0.0172,0.04463,0.12901,-0.0176,0.12618,0.09825,-0.01368,0.089625,8.50E-05,0.12213,0.057725,0.015475,0.03474,-0.20938,-0.1944,-0.21549,-0.18434
121,40,FC(C=C1)=CC=C1CC(C=CC=C2)=C2C3=NC=CC=C3,-0.0351,0.017341998,0.745230386,0.02404,0.02323,0.10689,0.01536,0.04716,0.07107,-0.00707,0.08035,0.09413,-0.01201,0.047555,0.00808,0.09362,0.054745,0.017575,0.02166,-0.20659,-0.19842,-0.21036,-0.18403
122,14,COC(C=C1)=CC=C1C2=NC=CC=C2,-0.03379,-0.01888404,0.621331066,0.03847,0.02444,0.11417,0.00279,0.08489,0.00871,0.06584,0.08287,0.04794,0.03579,0.02359,0.04514,0.09852,0.025365,0.06034,-0.16387,-0.24646,0.29283,-0.29732,-0.14625
123,14,COC(C=C1)=CC=C1C2=NC=CC=C2,-0.03379,-0.01888404,0.621331066,0.03847,0.02444,0.11417,0.00279,0.08489,0.00871,0.06584,0.08287,0.04794,0.03579,0.02359,0.04514,0.09852,0.025365,0.06034,-0.16387,-0.24646,0.29283,-0.29732,-0.14625
124,14,COC(C=C1)=CC=C1C2=NC=CC=C2,-0.03379,-0.01888404,0.621331066,0.03847,0.02444,0.11417,0.00279,0.08489,0.00871,0.06584,0.08287,0.04794,0.03579,0.02359,0.04514,0.09852,0.025365,0.06034,-0.16387,-0.24646,0.29283,-0.29732,-0.14625
125,14,COC(C=C1)=CC=C1C2=NC=CC=C2,-0.03379,-0.01888404,0.621331066,0.03847,0.02444,0.11417,0.00279,0.08489,0.00871,0.06584,0.08287,0.04794,0.03579,0.02359,0.04514,0.09852,0.025365,0.06034,-0.16387,-0.24646,0.29283,-0.29732,-0.14625
126,41,C/C(C1=CC=C(C)C=C1)=N\C2=CC=C(OC)C=C2,-0.02345,0.039609829,0.619333535,0.02727,0.03338,0.11698,0.00457,0.0721,0.00206,0.00451,0.0501,0.01992,0.01793,0.014665,0.018945,0.08354,0.012245,0.045015,-0.16621,-0.2014,-0.01122,-0.2065,-0.18383
127,42,C/C(C1=CC=CC=C1)=N\C2=CC=C(OC)C=C2,-0.02503,0.047680722,0.619822726,0.03926,0.02725,0.12498,0.01579,0.0604,0.00192,0.00734,0.04152,0.02152,0.01677,0.02059,0.017295,0.08325,0.018655,0.038585,-0.17591,-0.20206,-0.20036,-0.20539,-0.19345
128,42,C/C(C1=CC=CC=C1)=N\C2=CC=C(OC)C=C2,-0.02503,0.047680722,0.619822726,0.03926,0.02725,0.12498,0.01579,0.0604,0.00192,0.00734,0.04152,0.02152,0.01677,0.02059,0.017295,0.08325,0.018655,0.038585,-0.17591,-0.20206,-0.20036,-0.20539,-0.19345
129,42,C/C(C1=CC=CC=C1)=N\C2=CC=C(OC)C=C2,-0.02503,0.047680722,0.619822726,0.03926,0.02725,0.12498,0.01579,0.0604,0.00192,0.00734,0.04152,0.02152,0.01677,0.02059,0.017295,0.08325,0.018655,0.038585,-0.17591,-0.20206,-0.20036,-0.20539,-0.19345
130,42,C/C(C1=CC=CC=C1)=N\C2=CC=C(OC)C=C2,-0.02503,0.047680722,0.619822726,0.03926,0.02725,0.12498,0.01579,0.0604,0.00192,0.00734,0.04152,0.02152,0.01677,0.02059,0.017295,0.08325,0.018655,0.038585,-0.17591,-0.20206,-0.20036,-0.20539,-0.19345
131,42,C/C(C1=CC=CC=C1)=N\C2=CC=C(OC)C=C2,-0.02503,0.047680722,0.619822726,0.03926,0.02725,0.12498,0.01579,0.0604,0.00192,0.00734,0.04152,0.02152,0.01677,0.02059,0.017295,0.08325,0.018655,0.038585,-0.17591,-0.20206,-0.20036,-0.20539,-0.19345
132,43,C/C(C1=CC=C(F)C=C1)=N\C2=CC=C(OC)C=C2,-0.03501,0.05696776,0.619502423,0.03673,0.02791,0.10564,0.01279,0.06924,0.00024,0.00969,0.0351,0.02562,0.01686,0.018485,0.0188,0.07037,0.019205,0.04305,-0.15533,-0.26917,0.38788,-0.27351,-0.17322
