,reaction_id,rxn_smiles,products_run
70,69,[Br:1][CH:12]1[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]1.[cH:2]1[cH:3][cH:4][c:5](-[n:6]2[cH:7][cH:8][cH:9][n:10]2)[cH:11][cH:18]1>F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.N#CC(C)(C)C.N#CC(C)(C)C.N#CC(C)(C)C.N#CC(C)(C)C.N#CC(C)(C)C.N#CC(C)(C)C.[Ru+2].CC(C)(C)C1=CC=CC=C1.O=C(O)C1=C(C)C=C(C)C=C1C>[cH:2]1[cH:3][cH:4][c:5](-[n:6]2[cH:7][cH:8][cH:9][n:10]2)[c:11]([CH:12]2[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]2)[cH:18]1,[cH:2]1[cH:3][cH:4][c:5](-[n:6]2[cH:7][cH:8][cH:9][n:10]2)[c:11]([CH:12]2[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]2)[cH:18]1.[cH:2]1[cH:3][c:4]([CH:5]2[CH2:6][CH2:7][CH2:8][CH2:9][CH2:10]2)[cH:11][c:12](-[n:13]2[cH:14][cH:15][cH:16][n:17]2)[cH:18]1.[cH:2]1[cH:3][n:4][n:5](-[c:6]2[cH:7][cH:8][c:9]([CH:10]3[CH2:11][CH2:12][CH2:13][CH2:14][CH2:15]3)[cH:16][cH:17]2)[cH:18]1.[cH:2]1[cH:3][c:4]([CH:5]2[CH2:6][CH2:7][CH2:8][CH2:9][CH2:10]2)[cH:11][c:12](-[n:13]2[cH:14][cH:15][cH:16][n:17]2)[cH:18]1
71,70,[Br:1][CH:12]1[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]1.[cH:2]1[cH:3][cH:4][c:5](-[n:6]2[cH:7][cH:8][cH:9][n:10]2)[cH:11][cH:18]1>F[Sb](F)(F)(F)F.F[Sb](F)(F)(F)F.N#CC(C)(C)C.N#CC(C)(C)C.N#CC(C)(C)C.N#CC(C)(C)C.N#CC(C)(C)C.N#CC(C)(C)C.[Ru+2].[F-].[F-].CC(C)(C)C1=CC=CC=C1.O=C(O)C1=C(C)C=C(C)C=C1C>[cH:2]1[cH:3][c:4]([CH:5]2[CH2:6][CH2:7][CH2:8][CH2:9][CH2:10]2)[cH:11][c:12](-[n:13]2[cH:14][cH:15][cH:16][n:17]2)[cH:18]1,[cH:2]1[cH:3][c:4]([CH:5]2[CH2:6][CH2:7][CH2:8][CH2:9][CH2:10]2)[cH:11][c:12](-[n:13]2[cH:14][cH:15][cH:16][n:17]2)[cH:18]1.[cH:2]1[cH:3][cH:4][c:5](-[n:6]2[cH:7][cH:8][cH:9][n:10]2)[c:11]([CH:12]2[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]2)[cH:18]1.[cH:2]1[cH:3][c:4]([CH:5]2[CH2:6][CH2:7][CH2:8][CH2:9][CH2:10]2)[cH:11][c:12](-[n:13]2[cH:14][cH:15][cH:16][n:17]2)[cH:18]1.[cH:2]1[cH:3][n:4][n:5](-[c:6]2[cH:7][cH:8][c:9]([CH:10]3[CH2:11][CH2:12][CH2:13][CH2:14][CH2:15]3)[cH:16][cH:17]2)[cH:18]1
72,71,[Br:1][CH:12]1[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]1.[cH:2]1[cH:3][cH:4][c:5](-[n:6]2[cH:7][cH:8][cH:9][n:10]2)[cH:11][cH:18]1>F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.N#CC.N#CC.N#CC.N#CC.N#CC.N#CC.[Ru+2].CC(C)(C)C1=CC=CC=C1.O=C(O)C1=C(C)C=C(C)C=C1C>[cH:2]1[cH:3][cH:4][c:5](-[n:6]2[cH:7][cH:8][cH:9][n:10]2)[c:11]([CH:12]2[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]2)[cH:18]1,[cH:2]1[cH:3][cH:4][c:5](-[n:6]2[cH:7][cH:8][cH:9][n:10]2)[c:11]([CH:12]2[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]2)[cH:18]1.[cH:2]1[cH:3][c:4]([CH:5]2[CH2:6][CH2:7][CH2:8][CH2:9][CH2:10]2)[cH:11][c:12](-[n:13]2[cH:14][cH:15][cH:16][n:17]2)[cH:18]1.[cH:2]1[cH:3][n:4][n:5](-[c:6]2[cH:7][cH:8][c:9]([CH:10]3[CH2:11][CH2:12][CH2:13][CH2:14][CH2:15]3)[cH:16][cH:17]2)[cH:18]1.[cH:2]1[cH:3][c:4]([CH:5]2[CH2:6][CH2:7][CH2:8][CH2:9][CH2:10]2)[cH:11][c:12](-[n:13]2[cH:14][cH:15][cH:16][n:17]2)[cH:18]1
73,72,[Cl:1][CH:12]1[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]1.[cH:2]1[cH:3][cH:4][c:5](-[n:6]2[cH:7][cH:8][cH:9][n:10]2)[cH:11][cH:18]1>CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-].CC(C)(C)C1=CC=CC=C1.O=C(O)C1=C(C)C=C(C)C=C1C>[cH:2]1[cH:3][cH:4][c:5](-[n:6]2[cH:7][cH:8][cH:9][n:10]2)[c:11]([CH:12]2[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]2)[cH:18]1,[cH:2]1[cH:3][cH:4][c:5](-[n:6]2[cH:7][cH:8][cH:9][n:10]2)[c:11]([CH:12]2[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]2)[cH:18]1.[cH:2]1[cH:3][c:4]([CH:5]2[CH2:6][CH2:7][CH2:8][CH2:9][CH2:10]2)[cH:11][c:12](-[n:13]2[cH:14][cH:15][cH:16][n:17]2)[cH:18]1.[cH:2]1[cH:3][n:4][n:5](-[c:6]2[cH:7][cH:8][c:9]([CH:10]3[CH2:11][CH2:12][CH2:13][CH2:14][CH2:15]3)[cH:16][cH:17]2)[cH:18]1.[cH:2]1[cH:3][c:4]([CH:5]2[CH2:6][CH2:7][CH2:8][CH2:9][CH2:10]2)[cH:11][c:12](-[n:13]2[cH:14][cH:15][cH:16][n:17]2)[cH:18]1
74,73,[I:1][CH:12]1[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]1.[cH:2]1[cH:3][cH:4][c:5](-[n:6]2[cH:7][cH:8][cH:9][n:10]2)[cH:11][cH:18]1>CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-].CC(C)(C)C1=CC=CC=C1.O=C(O)C1=C(C)C=C(C)C=C1C>[cH:2]1[cH:3][cH:4][c:5](-[n:6]2[cH:7][cH:8][cH:9][n:10]2)[c:11]([CH:12]2[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]2)[cH:18]1,[cH:2]1[cH:3][cH:4][c:5](-[n:6]2[cH:7][cH:8][cH:9][n:10]2)[c:11]([CH:12]2[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]2)[cH:18]1.[cH:2]1[cH:3][c:4]([CH:5]2[CH2:6][CH2:7][CH2:8][CH2:9][CH2:10]2)[cH:11][c:12](-[n:13]2[cH:14][cH:15][cH:16][n:17]2)[cH:18]1.[cH:2]1[cH:3][n:4][n:5](-[c:6]2[cH:7][cH:8][c:9]([CH:10]3[CH2:11][CH2:12][CH2:13][CH2:14][CH2:15]3)[cH:16][cH:17]2)[cH:18]1.[cH:2]1[cH:3][c:4]([CH:5]2[CH2:6][CH2:7][CH2:8][CH2:9][CH2:10]2)[cH:11][c:12](-[n:13]2[cH:14][cH:15][cH:16][n:17]2)[cH:18]1
75,74,[Br:1][CH:12]1[CH2:13][CH2:14][CH2:15]1.[cH:2]1[cH:3][cH:4][c:5](-[n:6]2[cH:7][cH:8][cH:9][n:10]2)[cH:11][cH:16]1>CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-].CC(C)(C)C1=CC=CC=C1.O=C(O)C1=C(C)C=C(C)C=C1C>[cH:2]1[cH:3][cH:4][c:5](-[n:6]2[cH:7][cH:8][cH:9][n:10]2)[c:11]([CH:12]2[CH2:13][CH2:14][CH2:15]2)[cH:16]1,[cH:2]1[cH:3][cH:4][c:5](-[n:6]2[cH:7][cH:8][cH:9][n:10]2)[c:11]([CH:12]2[CH2:13][CH2:14][CH2:15]2)[cH:16]1.[cH:2]1[cH:3][c:4]([CH:5]2[CH2:6][CH2:7][CH2:8]2)[cH:9][c:10](-[n:11]2[cH:12][cH:13][cH:14][n:15]2)[cH:16]1.[cH:2]1[cH:3][n:4][n:5](-[c:6]2[cH:7][cH:8][c:9]([CH:10]3[CH2:11][CH2:12][CH2:13]3)[cH:14][cH:15]2)[cH:16]1.[cH:2]1[cH:3][c:4]([CH:5]2[CH2:6][CH2:7][CH2:8]2)[cH:9][c:10](-[n:11]2[cH:12][cH:13][cH:14][n:15]2)[cH:16]1
76,75,[Br:1][CH:5]1[CH2:6][CH2:7][CH2:8][CH2:9]1.[cH:2]1[cH:3][cH:4][cH:10][c:11](-[n:12]2[cH:13][cH:14][cH:15][n:16]2)[cH:17]1>CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-].CC(C)(C)C1=CC=CC=C1.O=C(O)C1=C(C)C=C(C)C=C1C>[cH:2]1[cH:3][c:4]([CH:5]2[CH2:6][CH2:7][CH2:8][CH2:9]2)[cH:10][c:11](-[n:12]2[cH:13][cH:14][cH:15][n:16]2)[cH:17]1,[cH:2]1[cH:3][c:4]([CH:5]2[CH2:6][CH2:7][CH2:8][CH2:9]2)[cH:10][c:11](-[n:12]2[cH:13][cH:14][cH:15][n:16]2)[cH:17]1.[cH:2]1[cH:3][n:4][n:5](-[c:6]2[cH:7][cH:8][c:9]([CH:10]3[CH2:11][CH2:12][CH2:13][CH2:14]3)[cH:15][cH:16]2)[cH:17]1.[cH:2]1[cH:3][cH:4][c:5](-[n:6]2[cH:7][cH:8][cH:9][n:10]2)[c:11]([CH:12]2[CH2:13][CH2:14][CH2:15][CH2:16]2)[cH:17]1.[cH:2]1[cH:3][cH:4][c:5](-[n:6]2[cH:7][cH:8][cH:9][n:10]2)[c:11]([CH:12]2[CH2:13][CH2:14][CH2:15][CH2:16]2)[cH:17]1
77,76,[Br:1][CH:12]1[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]1.[cH:2]1[cH:3][cH:4][c:5](-[n:6]2[cH:7][cH:8][cH:9][n:10]2)[cH:11][cH:18]1>CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-].CC1=CC=CC=C1C.O=C(O)C1=C(C)C=C(C)C=C1C>[cH:2]1[cH:3][cH:4][c:5](-[n:6]2[cH:7][cH:8][cH:9][n:10]2)[c:11]([CH:12]2[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]2)[cH:18]1,[cH:2]1[cH:3][cH:4][c:5](-[n:6]2[cH:7][cH:8][cH:9][n:10]2)[c:11]([CH:12]2[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]2)[cH:18]1.[cH:2]1[cH:3][c:4]([CH:5]2[CH2:6][CH2:7][CH2:8][CH2:9][CH2:10]2)[cH:11][c:12](-[n:13]2[cH:14][cH:15][cH:16][n:17]2)[cH:18]1.[cH:2]1[cH:3][n:4][n:5](-[c:6]2[cH:7][cH:8][c:9]([CH:10]3[CH2:11][CH2:12][CH2:13][CH2:14][CH2:15]3)[cH:16][cH:17]2)[cH:18]1.[cH:2]1[cH:3][c:4]([CH:5]2[CH2:6][CH2:7][CH2:8][CH2:9][CH2:10]2)[cH:11][c:12](-[n:13]2[cH:14][cH:15][cH:16][n:17]2)[cH:18]1
78,77,[Br:1][CH:5]1[CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11]1.[cH:2]1[cH:3][cH:4][cH:12][c:13](-[n:14]2[cH:15][cH:16][cH:17][n:18]2)[cH:19]1>CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-].CC1=CC=CC=C1C.O=C(O)C1=C(C)C=C(C)C=C1C>[cH:2]1[cH:3][c:4]([CH:5]2[CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11]2)[cH:12][c:13](-[n:14]2[cH:15][cH:16][cH:17][n:18]2)[cH:19]1,[cH:2]1[cH:3][c:4]([CH:5]2[CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11]2)[cH:12][c:13](-[n:14]2[cH:15][cH:16][cH:17][n:18]2)[cH:19]1.[cH:2]1[cH:3][cH:4][c:5](-[n:6]2[cH:7][cH:8][cH:9][n:10]2)[c:11]([CH:12]2[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18]2)[cH:19]1.[cH:2]1[cH:3][n:4][n:5](-[c:6]2[cH:7][cH:8][c:9]([CH:10]3[CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16]3)[cH:17][cH:18]2)[cH:19]1.[cH:2]1[cH:3][cH:4][c:5](-[n:6]2[cH:7][cH:8][cH:9][n:10]2)[c:11]([CH:12]2[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18]2)[cH:19]1
79,78,[Br:1][CH:5]1[CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12]1.[cH:2]1[cH:3][cH:4][cH:13][c:14](-[n:15]2[cH:16][cH:17][cH:18][n:19]2)[cH:20]1>CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-].CC1=CC=CC=C1C.O=C(O)C1=C(C)C=C(C)C=C1C>[cH:2]1[cH:3][c:4]([CH:5]2[CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12]2)[cH:13][c:14](-[n:15]2[cH:16][cH:17][cH:18][n:19]2)[cH:20]1,[cH:2]1[cH:3][c:4]([CH:5]2[CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12]2)[cH:13][c:14](-[n:15]2[cH:16][cH:17][cH:18][n:19]2)[cH:20]1.[cH:2]1[cH:3][n:4][n:5](-[c:6]2[cH:7][cH:8][c:9]([CH:10]3[CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]3)[cH:18][cH:19]2)[cH:20]1.[cH:2]1[cH:3][cH:4][c:5](-[n:6]2[cH:7][cH:8][cH:9][n:10]2)[c:11]([CH:12]2[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][CH2:19]2)[cH:20]1.[cH:2]1[cH:3][cH:4][c:5](-[n:6]2[cH:7][cH:8][cH:9][n:10]2)[c:11]([CH:12]2[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][CH2:19]2)[cH:20]1
80,79,[Br:1][C@@H:12]1[CH2:13][C@H:14]2[CH2:15][CH2:16][C@@H:17]1[CH2:18]2.[cH:2]1[cH:3][cH:4][c:5](-[n:6]2[cH:7][cH:8][cH:9][n:10]2)[cH:11][cH:19]1>CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-].CC1=CC=CC=C1C.O=C(O)C1=C(C)C=C(C)C=C1C>[cH:2]1[cH:3][cH:4][c:5](-[n:6]2[cH:7][cH:8][cH:9][n:10]2)[c:11]([CH:12]2[CH2:13][C@@H:14]3[CH2:15][CH2:16][C@H:17]2[CH2:18]3)[cH:19]1,[cH:2]1[cH:3][cH:4][c:5](-[n:6]2[cH:7][cH:8][cH:9][n:10]2)[c:11]([CH:12]2[CH2:13][C@@H:14]3[CH2:15][CH2:16][C@H:17]2[CH2:18]3)[cH:19]1.[cH:2]1[cH:3][n:4][n:5](-[c:6]2[cH:7][cH:8][c:9]([CH:10]3[CH2:11][C@@H:12]4[CH2:13][CH2:14][C@H:15]3[CH2:16]4)[cH:17][cH:18]2)[cH:19]1.[cH:2]1[cH:3][c:4]([CH:5]2[CH2:6][C@@H:7]3[CH2:8][CH2:9][C@H:10]2[CH2:11]3)[cH:12][c:13](-[n:14]2[cH:15][cH:16][cH:17][n:18]2)[cH:19]1.[cH:2]1[cH:3][c:4]([CH:5]2[CH2:6][C@@H:7]3[CH2:8][CH2:9][C@H:10]2[CH2:11]3)[cH:12][c:13](-[n:14]2[cH:15][cH:16][cH:17][n:18]2)[cH:19]1
81,80,[Br:1][CH:4]([CH2:3][CH3:2])[CH3:5].[cH:6]1[cH:7][cH:8][cH:9][c:10](-[n:11]2[cH:12][cH:13][cH:14][n:15]2)[cH:16]1>CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-].CC1=CC=CC=C1C.O=C(O)C1=C(C)C=C(C)C=C1C>[CH3:2][CH2:3][CH:4]([CH3:5])[c:6]1[cH:7][cH:8][cH:9][c:10](-[n:11]2[cH:12][cH:13][cH:14][n:15]2)[cH:16]1,[CH3:2][CH2:3][CH:4]([CH3:5])[c:6]1[cH:7][cH:8][cH:9][c:10](-[n:11]2[cH:12][cH:13][cH:14][n:15]2)[cH:16]1.[CH3:2][CH2:3][CH:4]([CH3:5])[c:6]1[cH:7][cH:8][cH:9][cH:10][c:11]1-[n:12]1[cH:13][cH:14][cH:15][n:16]1.[CH3:2][CH2:3][CH:4]([CH3:5])[c:6]1[cH:7][cH:8][c:9](-[n:10]2[cH:11][cH:12][cH:13][n:14]2)[cH:15][cH:16]1.[CH3:2][CH2:3][CH:4]([CH3:5])[c:6]1[cH:7][cH:8][cH:9][cH:10][c:11]1-[n:12]1[cH:13][cH:14][cH:15][n:16]1
82,81,[Br:1][CH:5]([CH2:4][CH2:3][CH3:2])[CH3:6].[cH:7]1[cH:8][cH:9][cH:10][c:11](-[n:12]2[cH:13][cH:14][cH:15][n:16]2)[cH:17]1>CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-].CC1=CC=CC=C1C.O=C(O)C1=C(C)C=C(C)C=C1C>[CH3:2][CH2:3][CH2:4][CH:5]([CH3:6])[c:7]1[cH:8][cH:9][cH:10][c:11](-[n:12]2[cH:13][cH:14][cH:15][n:16]2)[cH:17]1,[CH3:2][CH2:3][CH2:4][CH:5]([CH3:6])[c:7]1[cH:8][cH:9][cH:10][c:11](-[n:12]2[cH:13][cH:14][cH:15][n:16]2)[cH:17]1.[CH3:2][CH2:3][CH2:4][CH:5]([CH3:6])[c:7]1[cH:8][cH:9][c:10](-[n:11]2[cH:12][cH:13][cH:14][n:15]2)[cH:16][cH:17]1.[CH3:2][CH2:3][CH2:4][CH:5]([CH3:6])[c:7]1[cH:8][cH:9][cH:10][cH:11][c:12]1-[n:13]1[cH:14][cH:15][cH:16][n:17]1.[CH3:2][CH2:3][CH2:4][CH:5]([CH3:6])[c:7]1[cH:8][cH:9][cH:10][cH:11][c:12]1-[n:13]1[cH:14][cH:15][cH:16][n:17]1
83,82,[Br:1][CH2:6][C:3]([CH3:2])([CH3:4])[CH3:5].[cH:7]1[cH:8][cH:9][cH:10][cH:11][c:12]1-[n:13]1[cH:14][cH:15][cH:16][n:17]1>CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-].CC1=CC=CC=C1C.O=C(O)C1=C(C)C=C(C)C=C1C>[CH3:2][C:3]([CH3:4])([CH3:5])[CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][c:12]1-[n:13]1[cH:14][cH:15][cH:16][n:17]1,[CH3:2][C:3]([CH3:4])([CH3:5])[CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][c:12]1-[n:13]1[cH:14][cH:15][cH:16][n:17]1.[CH3:2][C:3]([CH3:4])([CH3:5])[CH2:6][c:7]1[cH:8][cH:9][cH:10][c:11](-[n:12]2[cH:13][cH:14][cH:15][n:16]2)[cH:17]1.[CH3:2][C:3]([CH3:4])([CH3:5])[CH2:6][c:7]1[cH:8][cH:9][c:10](-[n:11]2[cH:12][cH:13][cH:14][n:15]2)[cH:16][cH:17]1.[CH3:2][C:3]([CH3:4])([CH3:5])[CH2:6][c:7]1[cH:8][cH:9][cH:10][c:11](-[n:12]2[cH:13][cH:14][cH:15][n:16]2)[cH:17]1
84,83,[Br:1][CH2:14][C:15]([CH3:16])([CH3:17])[CH3:18].[CH3:2][O:3][c:4]1[cH:5][cH:6][c:7](-[n:8]2[cH:9][cH:10][cH:11][n:12]2)[cH:13][cH:19]1>CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-].CC1=CC=CC=C1C.O=C(O)C1=C(C)C=C(C)C=C1C>[CH3:2][O:3][c:4]1[cH:5][cH:6][c:7](-[n:8]2[cH:9][cH:10][cH:11][n:12]2)[c:13]([CH2:14][C:15]([CH3:16])([CH3:17])[CH3:18])[cH:19]1,[CH3:2][O:3][c:4]1[cH:5][cH:6][c:7](-[n:8]2[cH:9][cH:10][cH:11][n:12]2)[c:13]([CH2:14][C:15]([CH3:16])([CH3:17])[CH3:18])[cH:19]1.[CH3:2][O:3][c:4]1[cH:5][cH:6][c:7](-[n:8]2[cH:9][cH:10][cH:11][n:12]2)[cH:13][c:14]1[CH2:15][C:16]([CH3:17])([CH3:18])[CH3:19].[CH3:2][O:3][c:4]1[cH:5][cH:6][c:7](-[n:8]2[cH:9][cH:10][cH:11][n:12]2)[cH:13][c:14]1[CH2:15][C:16]([CH3:17])([CH3:18])[CH3:19]
85,84,[Br:1][CH:13]1[CH2:14][CH2:15][CH2:16][CH2:17][CH2:18]1.[CH3:2][c:3]1[cH:4][cH:5][c:6](-[n:7]2[cH:8][cH:9][cH:10][n:11]2)[cH:12][cH:19]1>CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-].CC1=CC=CC=C1C.O=C(O)C1=C(C)C=C(C)C=C1C>[CH3:2][c:3]1[cH:4][cH:5][c:6](-[n:7]2[cH:8][cH:9][cH:10][n:11]2)[c:12]([CH:13]2[CH2:14][CH2:15][CH2:16][CH2:17][CH2:18]2)[cH:19]1,[CH3:2][c:3]1[cH:4][cH:5][c:6](-[n:7]2[cH:8][cH:9][cH:10][n:11]2)[c:12]([CH:13]2[CH2:14][CH2:15][CH2:16][CH2:17][CH2:18]2)[cH:19]1.[CH3:2][c:3]1[cH:4][cH:5][c:6](-[n:7]2[cH:8][cH:9][cH:10][n:11]2)[cH:12][c:13]1[CH:14]1[CH2:15][CH2:16][CH2:17][CH2:18][CH2:19]1.[CH3:2][c:3]1[cH:4][cH:5][c:6](-[n:7]2[cH:8][cH:9][cH:10][n:11]2)[cH:12][c:13]1[CH:14]1[CH2:15][CH2:16][CH2:17][CH2:18][CH2:19]1
86,85,[Br:1][CH:14]1[CH2:15][CH2:16][CH2:17][CH2:18][CH2:19]1.[CH3:2][O:3][c:4]1[cH:5][cH:6][c:7](-[n:8]2[cH:9][cH:10][cH:11][n:12]2)[cH:13][cH:20]1>CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-].CC1=CC=CC=C1C.O=C(O)C1=C(C)C=C(C)C=C1C>[CH3:2][O:3][c:4]1[cH:5][cH:6][c:7](-[n:8]2[cH:9][cH:10][cH:11][n:12]2)[c:13]([CH:14]2[CH2:15][CH2:16][CH2:17][CH2:18][CH2:19]2)[cH:20]1,[CH3:2][O:3][c:4]1[cH:5][cH:6][c:7](-[n:8]2[cH:9][cH:10][cH:11][n:12]2)[c:13]([CH:14]2[CH2:15][CH2:16][CH2:17][CH2:18][CH2:19]2)[cH:20]1.[CH3:2][O:3][c:4]1[cH:5][cH:6][c:7](-[n:8]2[cH:9][cH:10][cH:11][n:12]2)[cH:13][c:14]1[CH:15]1[CH2:16][CH2:17][CH2:18][CH2:19][CH2:20]1.[CH3:2][O:3][c:4]1[cH:5][cH:6][c:7](-[n:8]2[cH:9][cH:10][cH:11][n:12]2)[cH:13][c:14]1[CH:15]1[CH2:16][CH2:17][CH2:18][CH2:19][CH2:20]1
87,86,[Br:1][CH:13]1[CH2:14][CH2:15][CH2:16][CH2:17][CH2:18]1.[F:2][c:3]1[cH:4][cH:5][c:6](-[n:7]2[cH:8][cH:9][cH:10][n:11]2)[cH:12][cH:19]1>CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-].CC1=CC=CC=C1C.O=C(O)C1=C(C)C=C(C)C=C1C>[F:2][c:3]1[cH:4][cH:5][c:6](-[n:7]2[cH:8][cH:9][cH:10][n:11]2)[c:12]([CH:13]2[CH2:14][CH2:15][CH2:16][CH2:17][CH2:18]2)[cH:19]1,[F:2][c:3]1[cH:4][cH:5][c:6](-[n:7]2[cH:8][cH:9][cH:10][n:11]2)[c:12]([CH:13]2[CH2:14][CH2:15][CH2:16][CH2:17][CH2:18]2)[cH:19]1.[F:2][c:3]1[cH:4][cH:5][c:6](-[n:7]2[cH:8][cH:9][cH:10][n:11]2)[cH:12][c:13]1[CH:14]1[CH2:15][CH2:16][CH2:17][CH2:18][CH2:19]1.[F:2][c:3]1[cH:4][cH:5][c:6](-[n:7]2[cH:8][cH:9][cH:10][n:11]2)[cH:12][c:13]1[CH:14]1[CH2:15][CH2:16][CH2:17][CH2:18][CH2:19]1
88,87,[Br:1][CH:16]1[CH2:17][CH2:18][CH2:19][CH2:20][CH2:21]1.[F:2][C:3]([F:4])([F:5])[c:6]1[cH:7][cH:8][c:9](-[n:10]2[cH:11][cH:12][cH:13][n:14]2)[cH:15][cH:22]1>CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-].CC1=CC=CC=C1C.O=C(O)C1=C(C)C=C(C)C=C1C>[F:2][C:3]([F:4])([F:5])[c:6]1[cH:7][cH:8][c:9](-[n:10]2[cH:11][cH:12][cH:13][n:14]2)[c:15]([CH:16]2[CH2:17][CH2:18][CH2:19][CH2:20][CH2:21]2)[cH:22]1,[F:2][C:3]([F:4])([F:5])[c:6]1[cH:7][cH:8][c:9](-[n:10]2[cH:11][cH:12][cH:13][n:14]2)[c:15]([CH:16]2[CH2:17][CH2:18][CH2:19][CH2:20][CH2:21]2)[cH:22]1.[F:2][C:3]([F:4])([F:5])[c:6]1[cH:7][cH:8][c:9](-[n:10]2[cH:11][cH:12][cH:13][n:14]2)[cH:15][c:16]1[CH:17]1[CH2:18][CH2:19][CH2:20][CH2:21][CH2:22]1
