rxn_id,source_id,rxn_type,temperature_degC,time_h,atmosphere,scale_mol,concentration_moll,stmat_1_smiles,stmat_1_eq,reagent_1_smiles,reagent_1_eq,reagent_2_smiles,reagent_2_eq,reagent_3_smiles,reagent_3_eq,reagent_4_smiles,reagent_4_eq,catalyst_1_smiles,catalyst_1_eq,catalyst_2_smiles,catalyst_2_eq,ligand_1_smiles,ligand_1_eq,ligand_2_smiles,ligand_2_eq,additive_1_smiles,additive_1_eq,solvent_1_smiles,solvent_1_fraction,solvent_2_smiles,solvent_2_fraction,product_1_smiles,product_1_yield,product_1_yieldtype,product_2_smiles,product_2_yield,product_2_yieldtype
10,10.1039/c7ob01192j,,,,,,,O=C(C1=CC(C2=CC=CC=C2)=NC=C1)OC,,,CCOC(CBr)=O,,,,,,,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,,,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,,,,O=C(O)C1=C(C)C=C(C)C=C1C,,C1COCCO1,,,,O=C(OC)C1=CC(C2=CC=CC(B3OC(C)(C)C(C)(C)O3)=C2)=NC=C1,0.31,,,,
11,10.1039/c7ob01192j,,,,,,,N1(C2=CC=CC=C2)C=CC=N1,,,CCOC(CBr)=O,,,,,,,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,,,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,,,,O=C(O)C1=C(C)C=C(C)C=C1C,,C1COCCO1,,,,CC1(C)C(C)(C)OB(C2=CC(N3C=CC=N3)=CC=C2)O1,0.52,,,,
12,10.1039/c7ob01192j,,,,,,,CC1=CN=C(C2=CC=CC=C2)C=C1,,,CCOC(CBr)=O,,,,,,,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,,,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,,,,O=C(O)C1=C(C)C=C(C)C=C1C,,C1COCCO1,,,,CC(O1)(C)C(C)(C)OB1C2=CC(C3=NC=C(C)C=C3)=CC=C2,0.62,,,,
13,10.1039/c7ob01192j,,,,,,,FC1=CN=C(C2=CC=CC=C2)C=C1,,,CCOC(CBr)=O,,,,,,,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,,,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,,,,O=C(O)C1=C(C)C=C(C)C=C1C,,C1COCCO1,,,,CC(O1)(C)C(C)(C)OB1C2=CC(C3=NC=C(F)C=C3)=CC=C2,0.6,,,,
14,10.1039/c7ob01192j,,,,,,,C1(C2=CC=CC=C2)=NC=CC=N1,,,CCOC(CBr)=O,,,,,,,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,,,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,,,,O=C(O)C1=C(C)C=C(C)C=C1C,,C1COCCO1,,,,CC1(C)C(C)(C)OB(C2=CC(C3=NC=CC=N3)=CC=C2)O1,0.76,,,,
15,10.1039/c7ob01192j,,,,,,,CC1=CC=NC(C2=CC=CC=C2)=N1,,,CCOC(CBr)=O,,,,,,,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,,,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,,,,O=C(O)C1=C(C)C=C(C)C=C1C,,C1COCCO1,,,,CC1(C)C(C)(C)OB(C2=CC(C3=NC=CC(C)=N3)=CC=C2)O1,0.83,,,,
16,10.1039/c7ob01192j,,,,,,,CCC1=CN=C(C2=CC=CC=C2)N=C1,,,CCOC(CBr)=O,,,,,,,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,,,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,,,,O=C(O)C1=C(C)C=C(C)C=C1C,,C1COCCO1,,,,CCC1=CN=C(N=C1)C2=CC=C(B3OC(C)(C)C(C)(C)O3)C=C2,0.56,,,,
17,10.1039/c7ob01192j,,,,,,,COC(C=C1)=CC=C1C2=NC=CC=C2,,,CCOC(CBr)=O,,,,,,,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,,,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,,,,O=C(O)C1=C(C)C=C(C)C=C1C,,C1COCCO1,,,,COC1=CC=C(C2=NC=CC=C2)C=C1B3OC(C)(C)C(C)(C)O3,0.6,,,,
18,10.1039/c7ob01192j,,,,,,,CC1=CC(C2=CC=C(OC)C=C2)=NC=C1,,,CCOC(CBr)=O,,,,,,,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,,,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,,,,O=C(O)C1=C(C)C=C(C)C=C1C,,C1COCCO1,,,,COC1=CC=C(C2=NC=CC(C)=C2)C=C1B3OC(C)(C)C(C)(C)O3,0.49,,,,
19,10.1039/c7ob01192j,,,,,,,COC(C=C1)=CC=C1C2=NC=CC=N2,,,CCOC(CBr)=O,,,,,,,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,,,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,,,,O=C(O)C1=C(C)C=C(C)C=C1C,,C1COCCO1,,,,COC1=CC=C(C2=NC=CC=N2)C=C1B3OC(C)(C)C(C)(C)O3,0.55,,,,
20,10.1039/c7ob01192j,,,,,,,CC(C=C1)=CC=C1C2=NC=CC=C2,,,CCOC(CBr)=O,,,,,,,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,,,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,,,,O=C(O)C1=C(C)C=C(C)C=C1C,,C1COCCO1,,,,CC1=CC=C(C2=NC=CC=C2)C=C1B3OC(C)(C)C(C)(C)O3,0.31,,,,
21,10.1039/c7ob01192j,,,,,,,FC(C=C1)=CC=C1C2=NC=CC=C2,,,CCOC(CBr)=O,,,,,,,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,,,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,,,,O=C(O)C1=C(C)C=C(C)C=C1C,,C1COCCO1,,,,FC1=CC=C(C2=NC=CC=C2)C=C1B3OC(C)(C)C(C)(C)O3,0.58,,,,
22,10.1039/c7ob01192j,,,,,,,FC(C=C1)=CC=C1C2=NC=CC(C)=C2,,,CCOC(CBr)=O,,,,,,,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,,,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,,,,O=C(O)C1=C(C)C=C(C)C=C1C,,C1COCCO1,,,,FC1=CC=C(C2=NC=CC(C)=C2)C=C1B3OC(C)(C)C(C)(C)O3,0.66,,,,
23,10.1039/c7ob01192j,,,,,,,O=C(C(C=C1)=CC=C1C2=NC=CC=C2)OCC,,,CCOC(CBr)=O,,,,,,,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,,,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,,,,O=C(O)C1=C(C)C=C(C)C=C1C,,C1COCCO1,,,,O=C(OCC)C1=CC=C(C2=NC=CC=C2)C=C1B3OC(C)(C)C(C)(C)O3,0.58,,,,
24,10.1039/c7ob01192j,,,,,,,ClC(C=C1)=CC=C1C2=NC=CC=C2,,,CCOC(CBr)=O,,,,,,,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,,,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,,,,O=C(O)C1=C(C)C=C(C)C=C1C,,C1COCCO1,,,,ClC1=CC=C(C2=NC=CC=C2)C=C1B3OC(C)(C)C(C)(C)O3,0.55,,,,
25,10.1039/c7ob01192j,,,,,,,FC(C(C=C1)=CC=C1C2=NC=CC=C2)(F)F,,,CCOC(CBr)=O,,,,,,,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,,,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,,,,O=C(O)C1=C(C)C=C(C)C=C1C,,C1COCCO1,,,,CC1(C)C(C)(C)OB(C2=CC(C3=NC=CC=C3)=CC=C2C(F)(F)F)O1,0.55,,,,
26,10.1039/c7ob01192j,,,,,,,COC(C=C1)=CC=C1C2=NC=CC=C2,,,CC(C)(Br)C(OCC)=O,,,,,,,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,,,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,,,,O=C(O)C1=C(C)C=C(C)C=C1C,,C1COCCO1,,,,CC1(C)C(C)(C)OB(C2=CC(C3=NC=CC=C3)=CC=C2OC)O1,0.75,,,,
